,monthly_income,monthly_expense_total,savings_rate,budget_goal,credit_score,debt_to_income_ratio,loan_payment,investment_amount,emergency_fund,transaction_count,discretionary_spending,essential_spending,rent_or_mortgage,actual_savings,savings_goal_met
monthly_income,1.0,0.0037409223997499075,0.005193298966144454,-0.018453877621071788,-0.012982220878863832,-0.004804684588835842,-0.005642497609403577,-0.04107081601231211,0.01536299260078877,0.023346943713950147,-0.009082904114913231,-0.016661940279789775,-0.01945937770232521,0.7157108939266258,0.42330045882704054
monthly_expense_total,0.0037409223997499075,1.0,0.0005153570001887755,-0.02651706598264576,-0.008134495572843469,-0.0181360083620747,0.007962187493864232,-0.032846729195261236,0.005241286400668551,0.013037866988359726,-0.007343540669592376,0.0030113015897307383,0.02634315588392863,-0.5996794461774996,-0.3070656197178689
savings_rate,0.005193298966144454,0.0005153570001887755,1.0,-0.012003670374606085,-0.02079711554975252,-0.03299620416670516,-0.0013058206682331633,-0.020893531929546582,0.025650021813789853,-0.0007434712598386181,-0.03365881877652428,0.008292755901786809,0.014865407258805722,0.004968164039162821,-0.01332396918329629
budget_goal,-0.018453877621071788,-0.02651706598264576,-0.012003670374606085,1.0,0.006735909078512945,-0.0031753834722900278,-0.015594872927904723,-0.0030454937357443056,-0.012099911768322029,0.005329673383431763,-0.001726935588461272,-0.000409565893481675,0.024765392825337525,0.0011848140287226401,-0.21699623110451563
credit_score,-0.012982220878863832,-0.008134495572843469,-0.02079711554975252,0.006735909078512945,1.0,0.015053073327605858,-0.002495894100766856,-0.016690303654197762,0.006568603863528768,-0.02170308299693845,0.02657334430145369,0.0037435706574314278,0.02053622049808968,0.0016324086454746448,0.003968661361148802
debt_to_income_ratio,-0.004804684588835842,-0.0181360083620747,-0.03299620416670516,-0.0031753834722900278,0.015053073327605858,1.0,-0.002643313545495056,0.019770005106509513,-0.02637603303533722,0.015565751953633286,-0.015917770111189507,-0.024811253780830628,-0.01194976176296435,0.004442464040794149,0.01136778019105113
loan_payment,-0.005642497609403577,0.007962187493864232,-0.0013058206682331633,-0.015594872927904723,-0.002495894100766856,-0.002643313545495056,1.0,7.70891145725428e-05,0.00570594822410148,0.010258242175790043,-0.023877717860085405,0.00792279510343035,-0.019200529929831157,-0.006557038093504109,-0.01100250390441857
investment_amount,-0.04107081601231211,-0.032846729195261236,-0.020893531929546582,-0.0030454937357443056,-0.016690303654197762,0.019770005106509513,7.70891145725428e-05,1.0,-0.040184138153043954,0.012399862386464205,0.026615303390766027,-0.011257884086863078,0.007032349717962534,-0.022188591148184993,-0.009729679830528911
emergency_fund,0.01536299260078877,0.005241286400668551,0.025650021813789853,-0.012099911768322029,0.006568603863528768,-0.02637603303533722,0.00570594822410148,-0.040184138153043954,1.0,0.008301969060036342,0.03454493963257796,-0.003747763576452787,-0.011055498674309138,0.009431426243139864,0.018025928651244232
transaction_count,0.023346943713950147,0.013037866988359726,-0.0007434712598386181,0.005329673383431763,-0.02170308299693845,0.015565751953633286,0.010258242175790043,0.012399862386464205,0.008301969060036342,1.0,0.009316833379271066,0.013464591839126908,-0.002868496117513666,0.007946424248824524,-0.0074588449474569255
discretionary_spending,-0.009082904114913231,-0.007343540669592376,-0.03365881877652428,-0.001726935588461272,0.02657334430145369,-0.015917770111189507,-0.023877717860085405,0.026615303390766027,0.03454493963257796,0.009316833379271066,1.0,-0.01799962092542909,0.018093193867963573,-0.005647149923578311,0.008879007824782587
essential_spending,-0.016661940279789775,0.0030113015897307383,0.008292755901786809,-0.000409565893481675,0.0037435706574314278,-0.024811253780830628,0.00792279510343035,-0.011257884086863078,-0.003747763576452787,0.013464591839126908,-0.01799962092542909,1.0,0.011503191578415057,-0.00827561328323879,0.0032723974493322453
rent_or_mortgage,-0.01945937770232521,0.02634315588392863,0.014865407258805722,0.024765392825337525,0.02053622049808968,-0.01194976176296435,-0.019200529929831157,0.007032349717962534,-0.011055498674309138,-0.002868496117513666,0.018093193867963573,0.011503191578415057,1.0,-0.01437987996756816,-0.027896905399175043
actual_savings,0.7157108939266258,-0.5996794461774996,0.004968164039162821,0.0011848140287226401,0.0016324086454746448,0.004442464040794149,-0.006557038093504109,-0.022188591148184993,0.009431426243139864,0.007946424248824524,-0.005647149923578311,-0.00827561328323879,-0.01437987996756816,1.0,0.6053329258478548
savings_goal_met,0.42330045882704054,-0.3070656197178689,-0.01332396918329629,-0.21699623110451563,0.003968661361148802,0.01136778019105113,-0.01100250390441857,-0.009729679830528911,0.018025928651244232,-0.0074588449474569255,0.008879007824782587,0.0032723974493322453,-0.027896905399175043,0.6053329258478548,1.0
